[10/657] tamam (10s gecti, ~11 dk kaldi)
[20/657] tamam (22s gecti, ~12 dk kaldi)
[30/657] tamam (35s gecti, ~12 dk kaldi)
[40/657] tamam (47s gecti, ~12 dk kaldi)
[50/657] tamam (59s gecti, ~12 dk kaldi)
[60/657] tamam (72s gecti, ~12 dk kaldi)
[70/657] tamam (85s gecti, ~12 dk kaldi)
[80/657] tamam (98s gecti, ~12 dk kaldi)
[90/657] tamam (110s gecti, ~12 dk kaldi)
[100/657] tamam (123s gecti, ~11 dk kaldi)
[110/657] tamam (136s gecti, ~11 dk kaldi)
[120/657] tamam (150s gecti, ~11 dk kaldi)
[130/657] tamam (163s gecti, ~11 dk kaldi)
[140/657] tamam (177s gecti, ~11 dk kaldi)
[150/657] tamam (192s gecti, ~11 dk kaldi)
[160/657] tamam (203s gecti, ~11 dk kaldi)
[170/657] tamam (216s gecti, ~10 dk kaldi)
[180/657] tamam (229s gecti, ~10 dk kaldi)
[190/657] tamam (242s gecti, ~10 dk kaldi)
[200/657] tamam (254s gecti, ~10 dk kaldi)
[210/657] tamam (266s gecti, ~9 dk kaldi)
[220/657] tamam (279s gecti, ~9 dk kaldi)
[230/657] tamam (292s gecti, ~9 dk kaldi)
[240/657] tamam (304s gecti, ~9 dk kaldi)
[250/657] tamam (317s gecti, ~9 dk kaldi)
[260/657] tamam (331s gecti, ~8 dk kaldi)
[270/657] tamam (343s gecti, ~8 dk kaldi)
[280/657] tamam (357s gecti, ~8 dk kaldi)
[290/657] tamam (370s gecti, ~8 dk kaldi)
[300/657] tamam (384s gecti, ~8 dk kaldi)
[310/657] tamam (399s gecti, ~7 dk kaldi)
[320/657] tamam (414s gecti, ~7 dk kaldi)
[330/657] tamam (432s gecti, ~7 dk kaldi)
[340/657] tamam (449s gecti, ~7 dk kaldi)
[350/657] tamam (466s gecti, ~7 dk kaldi)
[360/657] tamam (483s gecti, ~7 dk kaldi)
[370/657] tamam (500s gecti, ~6 dk kaldi)
[380/657] tamam (518s gecti, ~6 dk kaldi)
[390/657] tamam (534s gecti, ~6 dk kaldi)
[400/657] tamam (552s gecti, ~6 dk kaldi)
[410/657] tamam (568s gecti, ~6 dk kaldi)
[420/657] tamam (585s gecti, ~5 dk kaldi)
[430/657] tamam (600s gecti, ~5 dk kaldi)
[440/657] tamam (617s gecti, ~5 dk kaldi)
[450/657] tamam (635s gecti, ~5 dk kaldi)
[460/657] tamam (653s gecti, ~5 dk kaldi)
[470/657] tamam (671s gecti, ~4 dk kaldi)
[480/657] tamam (689s gecti, ~4 dk kaldi)
[490/657] tamam (712s gecti, ~4 dk kaldi)
[500/657] tamam (732s gecti, ~4 dk kaldi)
[510/657] tamam (752s gecti, ~4 dk kaldi)
[520/657] tamam (775s gecti, ~3 dk kaldi)
[530/657] tamam (797s gecti, ~3 dk kaldi)
[540/657] tamam (819s gecti, ~3 dk kaldi)
[550/657] tamam (840s gecti, ~3 dk kaldi)
[560/657] tamam (860s gecti, ~2 dk kaldi)
[570/657] tamam (881s gecti, ~2 dk kaldi)
[580/657] tamam (902s gecti, ~2 dk kaldi)
[590/657] tamam (923s gecti, ~2 dk kaldi)
[600/657] tamam (944s gecti, ~1 dk kaldi)
[610/657] tamam (967s gecti, ~1 dk kaldi)
[620/657] tamam (990s gecti, ~1 dk kaldi)
[630/657] tamam (1013s gecti, ~1 dk kaldi)
[640/657] tamam (1036s gecti, ~0 dk kaldi)
[650/657] tamam (1059s gecti, ~0 dk kaldi)
[657/657] tamam (1073s gecti, ~0 dk kaldi)

Bitti. /Users/hakan/Desktop/sesbot/ocr_text/ocr_pages.json
